date,glacier_area_percent
2017-01-08,12.972640991210938
2017-01-08,12.972640991210938
2017-01-08,12.972640991210938
2017-02-17,9.708023071289062
2017-04-18,13.845443725585938
2017-06-17,14.8590087890625
2017-08-11,24.898147583007812
2017-09-25,18.468475341796875
2017-10-30,13.6077880859375
2017-11-19,7.8907012939453125
2017-12-09,7.99560546875
2017-12-29,6.1954498291015625
2018-01-18,5.2539825439453125
2018-02-17,9.19952392578125
2018-03-09,10.182952880859375
2018-03-29,45.93162536621094
2018-04-13,28.326416015625
2018-04-28,24.2340087890625
2018-05-28,20.52154541015625
2018-06-17,15.111923217773438
2018-07-07,13.553619384765625
2018-07-27,14.849853515625
2018-08-16,22.264862060546875
2018-09-10,20.951461791992188
2018-10-05,15.732574462890625
2018-10-15,14.120101928710938
2018-10-30,12.657546997070312
2018-11-14,10.414505004882812
2018-12-04,8.345794677734375
2018-12-19,28.345108032226562
2019-01-03,7.8212738037109375
2019-01-18,8.679962158203125
2019-02-02,37.18757629394531
2019-02-17,37.722015380859375
2019-03-09,16.330718994140625
2019-03-19,17.183303833007812
2019-04-03,18.78814697265625
2019-04-18,40.54107666015625
2019-05-03,8.408737182617188
2019-05-18,11.562728881835938
2019-05-28,11.803817749023438
2019-06-12,13.57421875
2019-06-17,10.745620727539062
2019-07-02,12.646102905273438
2019-07-17,14.999771118164062
2019-07-22,10.6231689453125
2019-08-16,23.087692260742188
2019-08-26,24.456787109375
2019-09-10,16.227340698242188
2019-09-30,32.56988525390625
2019-10-15,19.667434692382812
2019-11-09,11.579513549804688
2019-11-24,12.668991088867188
2019-12-09,9.920120239257812
2019-12-29,9.574508666992188
2020-01-18,39.04380798339844
2020-02-02,11.9049072265625
2020-02-17,7.4962615966796875
2020-03-03,21.887588500976562
2020-03-18,16.794586181640625
2020-04-02,15.676116943359375
2020-04-17,19.759750366210938
2020-05-12,40.471649169921875
2020-05-27,22.899627685546875
2020-06-11,39.74151611328125
2020-07-01,24.90081787109375
2020-07-16,22.617721557617188
2020-08-05,22.616958618164062
2020-08-20,29.568862915039062
2020-09-04,17.998123168945312
2020-09-29,16.652679443359375
2020-10-09,14.9017333984375
2020-10-19,14.47296142578125
2020-10-29,9.708404541015625
2020-11-13,7.7945709228515625
2020-11-28,8.2366943359375
2020-12-13,6.0001373291015625
2020-12-28,5.149078369140625
2021-01-12,5.2532196044921875
2021-01-27,4.736328125
2021-02-11,9.831619262695312
2021-02-21,10.0433349609375
2021-03-08,6.68792724609375
2021-03-28,7.4676513671875
2021-04-07,6.37664794921875
2021-04-27,14.27764892578125
2021-05-07,11.329269409179688
2021-05-22,14.762496948242188
2021-06-06,16.304397583007812
2021-06-11,29.253005981445312
2021-07-06,24.133682250976562
2021-07-21,18.754959106445312
2021-08-10,23.47869873046875
2021-09-09,27.193069458007812
2021-09-19,22.875213623046875
2021-10-09,23.541259765625
2021-10-24,33.917999267578125
2021-11-18,9.836196899414062
2021-11-28,10.000228881835938
2021-12-18,7.9498291015625
2022-01-02,35.58502197265625
2022-01-17,31.860733032226562
2022-02-01,10.075759887695312
2022-02-16,11.230087280273438
2022-03-03,11.335372924804688
2022-03-18,10.762405395507812
2022-04-02,7.6251983642578125
2022-04-17,8.15277099609375
2022-05-02,36.54212951660156
2022-05-17,14.66827392578125
2022-06-01,13.594818115234375
2022-06-16,9.781646728515625
2022-07-01,17.465972900390625
2022-07-16,13.392257690429688
2022-08-05,20.565414428710938
2022-08-25,16.865158081054688
2022-09-09,18.726730346679688
2022-09-29,17.065811157226562
2022-10-14,17.400741577148438
2022-10-29,11.952972412109375
2022-11-18,8.916854858398438
2022-12-03,6.699371337890625
2022-12-23,5.089569091796875
2023-01-07,4.4902801513671875
2023-01-22,4.96063232421875
2023-02-06,5.8307647705078125
2023-02-21,4.25262451171875
2023-03-08,16.39404296875
2023-03-23,30.841445922851562
2023-04-02,28.658676147460938
2023-04-12,13.051223754882812
2023-04-22,52.861785888671875
2023-04-27,12.69378662109375
2023-05-12,16.800308227539062
2023-05-22,17.528915405273438
2023-06-06,14.324569702148438
2023-06-16,8.337783813476562
2023-06-26,20.08056640625
2023-07-21,20.151138305664062
2023-08-15,25.242996215820312
2023-08-30,13.800430297851562
2023-09-04,25.02288818359375
2023-09-14,14.382553100585938
2023-09-24,41.98951721191406
2023-10-09,13.558578491210938
2023-10-19,11.815261840820312
2023-10-29,9.418487548828125
2023-11-08,8.914947509765625
2023-11-18,7.477569580078125
2023-11-28,21.718978881835938
2023-12-08,9.323883056640625
2023-12-18,5.2936553955078125
2023-12-28,5.307769775390625
2024-01-07,5.1532745361328125
2024-01-17,6.4788818359375
2024-01-27,6.775665283203125
2024-01-27,6.775665283203125
2024-02-06,4.822540283203125
2024-02-16,12.005233764648438
2024-02-26,11.635971069335938
2024-03-12,7.5439453125
2024-03-22,29.303741455078125
2024-04-01,13.091659545898438
2024-04-11,13.278579711914062
2024-04-21,8.440017700195312
2024-05-01,8.510208129882812
2024-05-11,18.920516967773438
2024-05-26,17.091751098632812
2024-06-05,8.158493041992188
2024-06-15,3.919219970703125
2024-06-30,19.652175903320312
2024-07-15,27.0111083984375
2024-07-30,13.63983154296875
2024-08-09,15.482330322265625
2024-09-03,30.09033203125
2024-09-23,26.595306396484375
2024-10-13,18.27239990234375
2024-10-28,10.979461669921875
2024-11-12,9.818649291992188
2024-11-27,6.5876007080078125
2024-12-12,4.477691650390625
2024-12-27,3.7509918212890625
2025-01-11,4.6955108642578125
2025-01-31,4.1622161865234375
2025-02-10,5.1883697509765625
2025-02-25,10.78948974609375
2025-03-12,8.664321899414062
2025-04-01,7.2521209716796875
2025-04-16,25.188064575195312
2025-04-16,37.21046447753906
